model,persona,psd,delta_norm,empirical_cosine,empirical_projection,empirical_projection_per_dim,empirical_off_target_leakage,empirical_target_norm,theory_cosine,theory_projection,theory_projection_per_dim,theory_off_target_leakage,theory_target_norm
GLM-4.6V,ISTJ,1.0622286292299066,4.379680836869964,0.887765770394069,3.8881307322240044,0.9430102173629239,0.4889390460014186,0.8411142559840008,0.5096639087487937,2.232165254391334,0.5413795951581873,0.913913450334332,0.48507125007266594
GLM-4.6V,ISFJ,1.0235954567160879,4.220392185942781,0.9345028540192194,3.9439685428439404,0.9565528756622904,0.3643545732827012,0.8601979131122034,0.6347088765821753,2.6787203830759334,0.6496851224068868,0.7909847664354637,0.48507125007266594
GLM-4.6V,INFJ,1.1726765571155737,4.835069309673172,0.923157877524115,4.463532321599874,1.0825656014890999,0.4508015373542765,0.9414357823863893,0.4567525835378688,2.2084303987778813,0.5356230471168315,1.0432057606271716,0.48507125007266594
GLM-4.6V,INTJ,0.8515800826450124,3.511154629417603,0.8565460815981383,3.007465739712811,0.7294175829566041,0.4394753995748018,0.7649673000652714,0.4873815559627803,1.7112720065114706,0.4150444257064392,0.7435904530369511,0.48507125007266594
GLM-4.6V,ISTP,0.8372846109293786,3.452212889566015,0.8121468264698227,2.8037037425592555,0.6799980396183151,0.4885163106943403,0.7353575688816334,0.6453587374584124,2.227915751847981,0.5403489394027418,0.6395846647516596,0.48507125007266594
GLM-4.6V,ISFP,1.1458246135037793,4.724355909908614,0.92944242099537,4.391016794549246,1.0649780028110367,0.422771685948457,0.9058378011341073,0.4633970326314638,2.189252509746571,0.5309717258137452,1.0153733654658559,0.48507125007266594
GLM-4.6V,INFP,1.44600270873612,5.962021903048272,0.9488146406882954,5.656853669716493,1.3719885405237635,0.45669604590325663,1.1859983795514621,0.5126687439695249,3.0565422805545537,0.7413203924642773,1.2415183886631747,0.48507125007266594
GLM-4.6V,INTP,0.8311597459495438,3.4269594243115096,0.855828847426899,2.9328907342872688,0.7113304874036323,0.42992494807468556,0.7280804356604745,0.6388447043560298,2.1892948802643963,0.5309820021737691,0.6394408781540679,0.48507125007266594
GLM-4.6V,ESTP,1.4138670237236897,5.829523079390444,0.9496652802148584,5.53609566870831,1.3427004232711057,0.442917073638936,1.5241923804242143,0.789242002329601,4.600904467804735,1.1158832408314783,0.8682307029843633,0.48507125007266594
GLM-4.6V,ESFP,1.1788192667884292,4.860396350481858,0.9411506393036666,4.574365132525209,1.1094465065614096,0.39842604436745105,1.1421645727784806,0.5505849700117534,2.67606117887529,0.6490401706539844,0.9840537183655457,0.48507125007266594
