persona,domain,scale,mean,sd,cv,min,max,range,n_models
INFP,Activity,ZKPQ-50-CC,0.026999999999999996,0.0548725796732758,2.032317765676882,0.0,0.18,0.18,20
INFP,Aggression-Hostility,ZKPQ-50-CC,0.19500000000000003,0.06599242380758567,0.33842268619274696,0.08,0.44,0.36,20
INFP,Impulsive_Sensation_Seeking,ZKPQ-50-CC,0.603,0.17254274832632058,0.28614054448809384,0.34,0.9,0.56,20
INFP,Neuroticism-Anxiety,ZKPQ-50-CC,0.826,0.082,0.09927360774818403,0.62,0.92,0.30000000000000004,20
INFP,Sociability,ZKPQ-50-CC,0.048,0.0735934779718964,1.5331974577478416,0.0,0.26,0.26,20
INFP,Psychoticism,EPQR-A,0.273325,0.06877500181752087,0.25162353175714214,0.1667,0.3333,0.1666,20
INFP,Extraversion,EPQR-A,0.045,0.10181246485573367,2.262499219016304,0.0,0.3667,0.3667,20
INFP,Neuroticism,EPQR-A,0.849975,0.04410278761030871,0.05188715857561541,0.8,1.0,0.19999999999999996,20
INFP,Lie,EPQR-A,0.333325,0.1584557442158535,0.4753791171254887,0.0667,0.6333,0.5666,20
ISTJ,Neuroticism,IPIP-NEO-120,1.8325000000000002,0.2110026350546362,0.11514468488656818,1.4667,2.2167,0.75,20
ISTJ,Extraversion,IPIP-NEO-120,2.07125,0.21568732345689678,0.10413389183193568,1.7583,2.4167,0.6584000000000001,20
ISTJ,Openness,IPIP-NEO-120,2.02667,0.23122665741648385,0.11409191304775017,1.6,2.3417,0.7416999999999998,20
ISTJ,Agreeableness,IPIP-NEO-120,3.793345,0.23841033843984202,0.06284963230073774,3.3417,4.275,0.9333000000000005,20
ISTJ,Conscientiousness,IPIP-NEO-120,4.836255,0.08247722397728952,0.017053944421311428,4.5833,4.925,0.34169999999999945,20
ISTJ,Machiavellianism,SD3,2.4744450000000002,0.22947130207282995,0.09273647305671774,2.1333,3.1111,0.9777999999999998,20
ISTJ,Narcissism,SD3,2.0999999999999996,0.20165922989042676,0.09602820470972705,1.8,2.4667,0.6666999999999998,20
ISTJ,Psychopathy,SD3,1.29332,0.116658817069264,0.09020104619836081,1.0889,1.5111,0.42220000000000013,20
ISTJ,Activity,ZKPQ-50-CC,0.568,0.17116074316267738,0.3013393365540095,0.24,0.9,0.66,20
ISTJ,Aggression-Hostility,ZKPQ-50-CC,0.20000000000000004,0.03741657386773942,0.18708286933869706,0.1,0.28,0.18000000000000002,20
ISTJ,Impulsive_Sensation_Seeking,ZKPQ-50-CC,0.0,0.0,,0.0,0.0,0.0,20
ISTJ,Neuroticism-Anxiety,ZKPQ-50-CC,0.066,0.05517245689653489,0.835946316614165,0.0,0.2,0.2,20
ISTJ,Sociability,ZKPQ-50-CC,0.006,0.026153393661244036,4.358898943540672,0.0,0.12,0.12,20
ISTJ,Psychoticism,EPQR-A,0.0,0.0,,0.0,0.0,0.0,20
ISTJ,Extraversion,EPQR-A,0.008335,0.025553322191057666,3.0657855058257546,0.0,0.1,0.1,20
ISTJ,Neuroticism,EPQR-A,0.05333,0.0956795594680494,1.794103871517896,0.0,0.3333,0.3333,20
ISTJ,Lie,EPQR-A,0.7933199999999999,0.07116366769637442,0.08970360976198057,0.5667,0.8667,0.30000000000000004,20
ISTP,Neuroticism,IPIP-NEO-120,1.8950099999999999,0.20110090228539504,0.10612128816491473,1.5333,2.15,0.6166999999999998,20
ISTP,Extraversion,IPIP-NEO-120,2.409995,0.21527828379797162,0.08932727403914599,2.0333,2.7583,0.7250000000000001,20
ISTP,Openness,IPIP-NEO-120,2.8308349999999995,0.14730498727130734,0.05203587890898175,2.5833,3.0833,0.5,20
ISTP,Agreeableness,IPIP-NEO-120,3.3429199999999994,0.18503741945887595,0.0553520333896342,3.0833,3.75,0.6667000000000001,20
ISTP,Conscientiousness,IPIP-NEO-120,3.3191650000000004,0.21968489541841515,0.0661867956002233,2.9333,3.8917,0.9584000000000001,20
ISTP,Machiavellianism,SD3,2.7766650000000004,0.19595205351054631,0.07057101001040683,2.4444,3.1778,0.7334,20
ISTP,Narcissism,SD3,2.109995,0.22786538015898777,0.10799332707375504,1.6222,2.5333,0.9111,20
ISTP,Psychopathy,SD3,2.40778,0.21084501559202198,0.08756822284096637,2.1111,3.0,0.8889,20
ISTP,Activity,ZKPQ-50-CC,0.31900000000000006,0.13045688943095338,0.4089557662412331,0.12,0.7,0.58,20
ISTP,Aggression-Hostility,ZKPQ-50-CC,0.282,0.1351887569289695,0.4793927550672678,0.1,0.64,0.54,20
ISTP,Impulsive_Sensation_Seeking,ZKPQ-50-CC,0.6709999999999999,0.10999545445153633,0.1639276519396965,0.34,0.8,0.46,20
ISTP,Neuroticism-Anxiety,ZKPQ-50-CC,0.003,0.007141428428542849,2.380476142847616,0.0,0.02,0.02,20
ISTP,Sociability,ZKPQ-50-CC,0.0,0.0,,0.0,0.0,0.0,20
ISTP,Psychoticism,EPQR-A,0.19168500000000002,0.04328299059676908,0.22580270024659765,0.1667,0.3333,0.1666,20
ISTP,Extraversion,EPQR-A,0.03167,0.0636693733281552,2.010400168239823,0.0,0.1667,0.1667,20
ISTP,Neuroticism,EPQR-A,0.0,0.0,,0.0,0.0,0.0,20
ISTP,Lie,EPQR-A,0.23166000000000003,0.12757298852029766,0.550690617803236,0.0,0.4667,0.4667,20
ISFJ,Neuroticism,IPIP-NEO-120,2.48,0.1781368097839411,0.07182935878384722,2.0833,2.8417,0.7584,20
ISFJ,Extraversion,IPIP-NEO-120,2.39251,0.2522186232219977,0.10542009154486195,2.0,2.925,0.9249999999999998,20
ISFJ,Openness,IPIP-NEO-120,2.7499949999999997,0.14896830694815588,0.05417039192731474,2.5167,3.0083,0.49160000000000004,20
ISFJ,Agreeableness,IPIP-NEO-120,4.66042,0.10639434947402049,0.022829347885817263,4.4333,4.8833,0.4500000000000002,20
ISFJ,Conscientiousness,IPIP-NEO-120,4.74083,0.12114199973584709,0.025552909455906898,4.4583,4.9,0.4417,20
ISFJ,Machiavellianism,SD3,2.23999,0.3091792973340874,0.13802708821650425,1.6889,2.8889,1.2,20
ISFJ,Narcissism,SD3,1.8277749999999997,0.17954567350677095,0.09823182476331659,1.5556,2.2222,0.6665999999999999,20
ISFJ,Psychopathy,SD3,1.1255600000000001,0.13486974234423374,0.11982456940921295,1.0,1.4667,0.4666999999999999,20
ISFJ,Activity,ZKPQ-50-CC,0.30900000000000005,0.1600593639872407,0.5179914692143711,0.04,0.64,0.6,20
ISFJ,Aggression-Hostility,ZKPQ-50-CC,0.06200000000000001,0.03994996871087636,0.6443543340463928,0.0,0.12,0.12,20
ISFJ,Impulsive_Sensation_Seeking,ZKPQ-50-CC,0.0,0.0,,0.0,0.0,0.0,20
ISFJ,Neuroticism-Anxiety,ZKPQ-50-CC,0.496,0.13734627770711516,0.2769078179578935,0.34,0.9,0.56,20
ISFJ,Sociability,ZKPQ-50-CC,0.275,0.18781639970992953,0.6829687262179255,0.0,0.54,0.54,20
ISFJ,Psychoticism,EPQR-A,0.0,0.0,,0.0,0.0,0.0,20
ISFJ,Extraversion,EPQR-A,0.058345,0.07519955102924485,1.2888773850243354,0.0,0.1667,0.1667,20
ISFJ,Neuroticism,EPQR-A,0.55333,0.12667421245067995,0.22893067871013673,0.3333,1.0,0.6667000000000001,20
ISFJ,Lie,EPQR-A,0.74332,0.1174125700255301,0.1579569633879488,0.5,0.8333,0.33330000000000004,20
ISFP,Neuroticism,IPIP-NEO-120,2.827085,0.2544443028935802,0.09000235326973906,2.45,3.2167,0.7666999999999997,20
ISFP,Extraversion,IPIP-NEO-120,2.389575,0.24975335207960672,0.10451789631194114,2.025,2.8333,0.8083,20
ISFP,Openness,IPIP-NEO-120,3.7350000000000003,0.17720280471820973,0.047443856684928974,3.3833,4.05,0.6666999999999996,20
ISFP,Agreeableness,IPIP-NEO-120,4.468740000000001,0.13168684216731755,0.029468450204602977,4.225,4.6583,0.4333,20
ISFP,Conscientiousness,IPIP-NEO-120,3.28,0.24023628576882383,0.07324277005147069,2.775,3.625,0.8500000000000001,20
ISFP,Machiavellianism,SD3,2.1011249999999997,0.2332252277842172,0.11100016790253661,1.6889,2.5556,0.8667,20
ISFP,Narcissism,SD3,1.874435,0.15335482801333644,0.08181389486076414,1.5778,2.1333,0.5555000000000001,20
ISFP,Psychopathy,SD3,1.33445,0.216320494868147,0.16210460854145678,1.0222,1.7778,0.7556,20
ISFP,Activity,ZKPQ-50-CC,0.05800000000000001,0.060959002616512686,1.0510172864915979,0.0,0.18,0.18,20
ISFP,Aggression-Hostility,ZKPQ-50-CC,0.11300000000000002,0.0548725796732758,0.48559805020598046,0.0,0.22,0.22,20
ISFP,Impulsive_Sensation_Seeking,ZKPQ-50-CC,0.5770000000000001,0.1531371933920692,0.2654024148909344,0.3,0.88,0.5800000000000001,20
ISFP,Neuroticism-Anxiety,ZKPQ-50-CC,0.6729999999999999,0.13149524706239385,0.19538669697235345,0.36,0.9,0.54,20
ISFP,Sociability,ZKPQ-50-CC,0.027000000000000003,0.04828043081829325,1.7881641043812313,0.0,0.16,0.16,20
ISFP,Psychoticism,EPQR-A,0.16836500000000001,0.007257566740995225,0.043106148789803254,0.1667,0.2,0.033300000000000024,20
ISFP,Extraversion,EPQR-A,0.10166499999999998,0.15364390738001946,1.5112763230218806,0.0,0.5,0.5,20
ISFP,Neuroticism,EPQR-A,0.63334,0.12560476264855566,0.1983212218532789,0.3333,0.8333,0.5,20
ISFP,Lie,EPQR-A,0.383335,0.15038303187195023,0.3923018557448452,0.1,0.7667,0.6667000000000001,20
ENTJ,Neuroticism,IPIP-NEO-120,1.38958,0.17328735556872,0.12470484287966146,1.1417,1.6917,0.55,20
ENTJ,Extraversion,IPIP-NEO-120,3.9225100000000004,0.1740643900974579,0.04437576707196613,3.5833,4.1667,0.5833999999999997,20
ENTJ,Openness,IPIP-NEO-120,3.162505,0.1588471072289325,0.05022825488937804,2.8917,3.525,0.6332999999999998,20
ENTJ,Agreeableness,IPIP-NEO-120,3.059175,0.3170167154504633,0.10362817277549119,2.6417,3.6667,1.025,20
ENTJ,Conscientiousness,IPIP-NEO-120,4.689585,0.11088971221443404,0.02364595421864281,4.5417,4.875,0.3333000000000004,20
ENTJ,Machiavellianism,SD3,3.0199999999999996,0.36831592145873904,0.12195891439031095,2.5111,3.8889,1.3778000000000001,20
ENTJ,Narcissism,SD3,4.42555,0.14492752844094178,0.03274791346633566,4.2,4.6889,0.4889000000000001,20
ENTJ,Psychopathy,SD3,2.4699999999999998,0.25281496791131647,0.10235423802077591,1.9778,2.8889,0.9111,20
ENTJ,Activity,ZKPQ-50-CC,0.9970000000000001,0.009539392014169465,0.0095680963030787,0.96,1.0,0.040000000000000036,20
ENTJ,Aggression-Hostility,ZKPQ-50-CC,0.724,0.15435025105259792,0.21319095449253858,0.4,1.0,0.6,20
ENTJ,Impulsive_Sensation_Seeking,ZKPQ-50-CC,0.256,0.14221111067704942,0.5555121510822243,0.1,0.56,0.4600000000000001,20
ENTJ,Neuroticism-Anxiety,ZKPQ-50-CC,0.005,0.02179449471770337,4.358898943540674,0.0,0.1,0.1,20
ENTJ,Sociability,ZKPQ-50-CC,0.6889999999999998,0.04624932431938872,0.06712528928793719,0.58,0.8,0.22000000000000008,20
ENTJ,Psychoticism,EPQR-A,0.15335000000000001,0.052066203049579096,0.33952528887889855,0.0,0.2333,0.2333,20
ENTJ,Extraversion,EPQR-A,0.93667,0.06489804388423429,0.06928592127882209,0.8333,1.0,0.16669999999999996,20
ENTJ,Neuroticism,EPQR-A,0.0016650000000000002,0.007257566740995223,4.358898943540674,0.0,0.0333,0.0333,20
ENTJ,Lie,EPQR-A,0.45832999999999996,0.18704738196510529,0.4081063468791161,0.0667,0.6667,0.6,20
ENTP,Neuroticism,IPIP-NEO-120,2.1504150000000006,0.15528153874495187,0.07221003329355116,1.95,2.5667,0.6167,20
ENTP,Extraversion,IPIP-NEO-120,4.562079999999999,0.1897684025331931,0.041596903722247995,4.175,4.9083,0.7332999999999998,20
ENTP,Openness,IPIP-NEO-120,4.360835,0.1347150001855769,0.030892019575511777,4.1917,4.7917,0.5999999999999996,20
ENTP,Agreeableness,IPIP-NEO-120,3.1054249999999994,0.2777268601972088,0.08943280233694546,2.675,3.6,0.9250000000000003,20
ENTP,Conscientiousness,IPIP-NEO-120,2.679585,0.301479878723274,0.1125099143051159,2.1917,3.0667,0.875,20
ENTP,Machiavellianism,SD3,2.8566700000000003,0.3057791802919224,0.10704042829305534,2.2889,3.3333,1.0444,20
ENTP,Narcissism,SD3,4.15889,0.23926490946229453,0.057530954043577616,3.7778,4.8,1.0221999999999998,20
ENTP,Psychopathy,SD3,3.42777,0.35114238721635416,0.10244047506581659,2.6889,3.8889,1.2000000000000002,20
ENTP,Activity,ZKPQ-50-CC,0.8100000000000002,0.08933084573650918,0.11028499473643107,0.6,0.94,0.33999999999999997,20
