model,IPIP-NEO-120_Fwd,IPIP-NEO-120_Rev,IPIP-NEO-120_Δ,SD3_Fwd,SD3_Rev,SD3_Δ,ZKPQ-50-CC_Fwd,ZKPQ-50-CC_Rev,ZKPQ-50-CC_Δ,EPQR-A_Fwd,EPQR-A_Rev,EPQR-A_Δ,Overall_Fwd,Overall_Rev,Overall_Δ
Gemini-3.1-Pro-Preview,0.569620253164557,0.3170731707317073,0.2525470824328497,0.13636363636363635,0.6,-0.4636363636363636,0.0,0.5,-0.5,0.05263157894736842,0.2,-0.1473684210526316,0.310126582278481,0.36507936507936506,-0.05495278280088406
Gemini_3-Pro-Preview,0.569620253164557,0.3170731707317073,0.2525470824328497,0.18181818181818182,0.6,-0.41818181818181815,0.0,0.5,-0.5,0.10526315789473684,0.2,-0.09473684210526317,0.3227848101265823,0.36507936507936506,-0.04229455495278278
Kimi-K2.5,0.5569620253164557,0.2926829268292683,0.2642790984871874,0.18181818181818182,0.6,-0.41818181818181815,0.0,0.4166666666666667,-0.4166666666666667,0.05263157894736842,0.0,0.05263157894736842,0.310126582278481,0.31746031746031744,-0.007333735181836443
Kimi-K2.6,0.4810126582278481,0.2682926829268293,0.21271997530101883,0.18181818181818182,0.6,-0.41818181818181815,0.0,0.4166666666666667,-0.4166666666666667,0.05263157894736842,0.0,0.05263157894736842,0.2721518987341772,0.30158730158730157,-0.02943540285312435
MiniMax-M2.7,0.6455696202531646,0.36585365853658536,0.2797159617165792,0.36363636363636365,0.6,-0.23636363636363633,0.0,0.25,-0.25,0.10526315789473684,0.0,0.10526315789473684,0.3860759493670886,0.3333333333333333,0.052742616033755296
Qwen3-235B-A22B,0.8734177215189873,0.36585365853658536,0.507564062982402,0.7272727272727273,0.8,-0.07272727272727275,0.7105263157894737,0.8333333333333334,-0.1228070175438597,0.3684210526315789,0.6,-0.23157894736842105,0.7531645569620253,0.5079365079365079,0.24522804902551743
Qwen3.5-122B-A10B,0.5063291139240507,0.21951219512195122,0.2868169188020995,0.13636363636363635,0.6,-0.4636363636363636,0.0,0.3333333333333333,-0.3333333333333333,0.05263157894736842,0.0,0.05263157894736842,0.27848101265822783,0.25396825396825395,0.02451275868997388
Qwen3.5-397B-A17B,0.569620253164557,0.34146341463414637,0.22815683853041063,0.18181818181818182,0.6,-0.41818181818181815,0.02631578947368421,0.4166666666666667,-0.39035087719298245,0.05263157894736842,0.0,0.05263157894736842,0.3227848101265823,0.3492063492063492,-0.02642153907976691
glm-4.7,0.5443037974683544,0.3170731707317073,0.22723062673664712,0.13636363636363635,0.6,-0.4636363636363636,0.0,0.5,-0.5,0.05263157894736842,0.0,0.05263157894736842,0.2974683544303797,0.3492063492063492,-0.051737994775969465
glm-5.1,0.4936708860759494,0.24390243902439024,0.24976844705155915,0.18181818181818182,0.6,-0.41818181818181815,0.02631578947368421,0.5833333333333334,-0.5570175438596492,0.05263157894736842,0.4,-0.3473684210526316,0.2848101265822785,0.3492063492063492,-0.06439622262407069
