model,scale,raw_mean,fwd_raw_mean,rev_raw_mean,acquiescence_gap,fwd_agree_rate,rev_agree_rate,agree_rate_gap,overall_agree_rate
Gemini-3.1-Flash-Lite,ZKPQ-50-CC,0.02,0.06842105263157897,0.25,-0.08333333333333333,0.0,0.08333333333333333,-0.08333333333333333,0.02
Gemini-3.1-Flash-Lite,EPQR-A,0.16666666666666666,0.10526315789473684,0.4,-0.2947368421052632,0.10526315789473684,0.4,-0.2947368421052632,0.16666666666666666
Gemini-3.1-Pro-Preview,ZKPQ-50-CC,0.12,0.04736842105263158,0.5,-0.5,0.0,0.5,-0.5,0.12
Gemini-3.1-Pro-Preview,EPQR-A,0.08333333333333333,0.09473684210526316,0.36,-0.1473684210526316,0.05263157894736842,0.2,-0.1473684210526316,0.08333333333333333
Gemini_3-Pro-Preview,ZKPQ-50-CC,0.12,0.02631578947368421,0.5666666666666667,-0.5,0.0,0.5,-0.5,0.12
Gemini_3-Pro-Preview,EPQR-A,0.125,0.11578947368421054,0.32,-0.09473684210526317,0.10526315789473684,0.2,-0.09473684210526317,0.125
Kimi-K2.5,ZKPQ-50-CC,0.1,0.0,0.46666666666666673,-0.4166666666666667,0.0,0.4166666666666667,-0.4166666666666667,0.1
Kimi-K2.5,EPQR-A,0.041666666666666664,0.05263157894736842,0.12000000000000002,0.05263157894736842,0.05263157894736842,0.0,0.05263157894736842,0.041666666666666664
Kimi-K2.6,ZKPQ-50-CC,0.1,0.0,0.45,-0.4166666666666667,0.0,0.4166666666666667,-0.4166666666666667,0.1
Kimi-K2.6,EPQR-A,0.041666666666666664,0.05263157894736842,0.2,0.05263157894736842,0.05263157894736842,0.0,0.05263157894736842,0.041666666666666664
MiniMax-M2.7,ZKPQ-50-CC,0.06,0.09999999999999999,0.4500000000000001,-0.25,0.0,0.25,-0.25,0.06
MiniMax-M2.7,EPQR-A,0.08333333333333333,0.11578947368421054,0.0,0.10526315789473684,0.10526315789473684,0.0,0.10526315789473684,0.08333333333333333
Qwen3-235B-A22B,ZKPQ-50-CC,0.74,0.7894736842105263,0.8333333333333334,-0.1228070175438597,0.7105263157894737,0.8333333333333334,-0.1228070175438597,0.74
Qwen3-235B-A22B,EPQR-A,0.4166666666666667,0.37894736842105264,0.8,-0.23157894736842105,0.3684210526315789,0.6,-0.23157894736842105,0.4166666666666667
Qwen3.5-122B-A10B,ZKPQ-50-CC,0.08,0.010526315789473684,0.3833333333333333,-0.3333333333333333,0.0,0.3333333333333333,-0.3333333333333333,0.08
Qwen3.5-122B-A10B,EPQR-A,0.041666666666666664,0.05263157894736842,0.0,0.05263157894736842,0.05263157894736842,0.0,0.05263157894736842,0.041666666666666664
Qwen3.5-397B-A17B,ZKPQ-50-CC,0.12,0.02631578947368421,0.43333333333333335,-0.39035087719298245,0.02631578947368421,0.4166666666666667,-0.39035087719298245,0.12
Qwen3.5-397B-A17B,EPQR-A,0.041666666666666664,0.06315789473684211,0.0,0.05263157894736842,0.05263157894736842,0.0,0.05263157894736842,0.041666666666666664
glm-4.7,ZKPQ-50-CC,0.12,0.021052631578947368,0.5333333333333333,-0.5,0.0,0.5,-0.5,0.12
glm-4.7,EPQR-A,0.041666666666666664,0.05263157894736842,0.32,0.05263157894736842,0.05263157894736842,0.0,0.05263157894736842,0.041666666666666664
glm-5.1,ZKPQ-50-CC,0.16,0.08421052631578947,0.7166666666666668,-0.5570175438596492,0.02631578947368421,0.5833333333333334,-0.5570175438596492,0.16
glm-5.1,EPQR-A,0.125,0.05263157894736842,0.52,-0.3473684210526316,0.05263157894736842,0.4,-0.3473684210526316,0.125
