model,nearest_z_euclidean,nearest_z_euclidean_distance,nearest_z_euclidean_margin,nearest_cosine,nearest_cosine_distance,nearest_cosine_margin,nearest_mahalanobis,nearest_mahalanobis_distance,nearest_mahalanobis_margin,empirical_EI_projection,theory_EI_projection,empirical_SN_projection,theory_SN_projection,empirical_TF_projection,theory_TF_projection,empirical_JP_projection,theory_JP_projection,default_empirical_axis_type,default_theory_axis_type
Gemini-3.1-Flash-Lite,INTP,0.8056476304208806,0.05184794879915844,INTP,0.5339059813368785,0.1584000894527211,INTP,1.6144780417167284,0.015833915411137545,-0.6602617937830906,-0.6341290908102686,0.3246008897556948,0.4566315372780435,-0.5335188781021908,-0.7552886319304208,-0.4588988801284216,0.5908918301392314,INTP,INTJ
Gemini-3.1-Pro-Preview,ISTJ,0.8739021707705832,0.10248965016836786,ISTJ,0.4342442414821919,0.17622879405172642,ISFJ,1.541912422111141,0.0365287073939673,-1.3101461132468062,-0.9400167352259186,-0.9531691616252677,0.16349104848002716,-0.14493610986320077,1.8675002579423632,1.755098423736355,1.5178288803397115,ISTJ,INFJ
Kimi-K2.5,ISTJ,0.7938882042925002,0.01786724137680573,ISTJ,0.41237939016789704,0.13556273930960006,INTP,1.146831848748177,0.0932333009353401,-1.216501528305738,-1.1520836343853296,-0.9976898906062236,-0.3842533188526627,-0.6430583756217172,1.0196457973418762,1.0550766557508513,0.9024979415851607,ISTJ,ISFJ
Kimi-K2.6,ISTJ,0.7850475800473496,0.007378865920509403,ISTJ,0.4001223200324726,0.11083430406359718,INTP,1.1135677463005416,0.10785719465697152,-1.31341033353657,-1.2416533408910673,-1.0158128750236979,-0.4045944510986607,-0.7040540304287245,0.9796290761283771,1.0300424321198685,0.8335938884552349,ISTJ,ISFJ
MiniMax-M2.7,INTJ,0.7459674518012573,0.01377156643530153,INTJ,0.527227827247732,0.07334808701388873,INTP,1.1856310561970815,0.030509911989330396,-0.33755794727886346,-0.4690822764852868,-0.6130237361887632,-0.27245006400316857,-0.9035391032454454,-0.01946352435653878,0.5867152677468611,0.8391610034129686,ISTJ,ISTJ
Qwen3-235B-A22B,ENFP,0.9102279199894115,0.06964887413985155,INFP,0.46829310967096227,0.008352170179774077,INFP,1.191984997520504,0.06659382818597237,0.16497528920769883,-0.014244910754038359,1.9320833555406165,1.0399365873794666,1.3162113410585545,-0.12493731972477479,-1.5730237517213794,-0.6382013490020537,ENFP,INTP
Qwen3.5-122B-A10B,ISTJ,0.8267420061722333,0.1334590863050582,ISTJ,0.40867540723153895,0.1640694505254463,ISFJ,1.5268342106359216,0.00450060338947722,-1.3119102631363069,-0.9260439775078854,-1.312577323499035,-0.414761453011977,-0.23555051868994364,1.6535223198108089,1.539487415246854,1.2613527333794337,ISTJ,ISFJ
Qwen3.5-397B-A17B,ISTJ,0.8276357647694366,0.07547974792544432,ISTJ,0.43613123448031543,0.18848598957787943,INTP,1.3986168730792845,0.021532027190821257,-1.0390156163575661,-0.7781875380177399,-0.9839484020321749,-0.12538026747870992,-0.3353645107472141,1.4288309468870102,1.452458316466062,1.2723005405928403,ISTJ,ISFJ
glm-4.7,ISTJ,0.7857055030183576,0.0675717131767708,ISTJ,0.3928457408971505,0.15033395443455122,INTP,1.179726859111158,0.04031983337851175,-1.561266884057128,-1.1027574206747668,-0.834658768804034,0.08382758546433755,-0.2889699035661106,1.3646011731861178,1.2794415505366545,1.1774005719862124,ISTJ,INFJ
glm-5.1,ISTJ,0.8466719156375512,0.06757852128655695,ISTJ,0.39862548195184155,0.12875754480745005,INTJ,1.4371419705644688,0.04314487508929776,-1.9012793148953049,-1.866643582352807,-0.6952090863160387,0.27243580716443966,-0.16683451435863156,1.7931376341766654,1.6127277251349557,1.3763537502885999,ISTJ,INFJ
