subset,model,actual_persona,predicted_z_euclidean,distance_z_euclidean,margin_z_euclidean,correct_z_euclidean,predicted_cosine,distance_cosine,margin_cosine,correct_cosine,predicted_mahalanobis,distance_mahalanobis,margin_mahalanobis,correct_mahalanobis
all,DeepSeek-V3.2,ESFP,ENTP,0.6369228215259796,0.005572443918351655,False,ENTP,0.14689835373918914,0.034187971908488435,False,ESTP,0.7635436930867567,0.026714610815063322,False
all,DeepSeek-V3.2,ENFP,ENFP,0.7571972200689245,0.22956345810021084,True,ENFP,0.20071507986093784,0.11701861566491334,True,INFP,0.8757621143774178,0.11041229915795081,False
all,DeepSeek-V3.2,ENTP,ENTP,0.37395646764351437,0.3302294308286114,True,ENTP,0.031283416664261376,0.1029626056978622,True,ENTP,0.646025549664107,0.2818879443028589,True
all,DeepSeek-V3.2,ESTJ,ESTJ,0.5134780114141065,0.012677876674627053,True,ESTJ,0.11583744994587908,0.006348974813298658,True,ESTJ,0.7052284642041807,0.15955459231447988,True
all,DeepSeek-V3.2,ESFJ,ESFJ,0.5348580032496881,0.20871306272905366,True,ESFJ,0.21243689958561862,0.22038025977923215,True,ESFJ,0.777305390965242,0.19284034649425086,True
all,DeepSeek-V3.2,ENFJ,ENFJ,0.6589976391476268,0.18707561659457905,True,ENFJ,0.2823239589541786,0.09430269551529136,True,ENFJ,1.0708245991756857,0.1364379621722318,True
all,DeepSeek-V3.2,ENTJ,ENTJ,0.4342331618457108,0.4216808242008896,True,ENTJ,0.0766716466838826,0.1728001781316525,True,ENTJ,0.5919102614491251,0.25427683008416946,True
all,DeepSeek-V4-Flash,ISTJ,ISTJ,0.25112545393392,0.46445261517804953,True,ISTJ,0.035169857187092535,0.2938291106295132,True,ISTJ,0.5749256082850925,0.4019349965647163,True
all,DeepSeek-V4-Flash,ISFJ,ISFJ,0.4253319118359217,0.31991981623555726,True,ISFJ,0.11037530581917476,0.23249740756112103,True,ISFJ,0.7178768526647792,0.11775557385227386,True
all,DeepSeek-V4-Flash,INFJ,INFJ,0.26275080800437045,0.43058425115813004,True,INFJ,0.04034720777754619,0.17814179473500058,True,INFJ,0.6342509797867614,0.1791439615710556,True
